"1.","William Trubridge","https://athletes.aidainternational.org/Profile-749ff4c9-7676-43bc-b668-de6d5d66e550","(New Zealand)","102 m","102 m","102","0","2016-07-14","World Record Attempt - William Trubridge","https://events.aidainternational.org/EventResults-12"
"2.","Alexey Molchanov","https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f","(Russian Federation)","96 m","96 m","96","0","2014-05-25","Caribbean Cup 2014","https://events.aidainternational.org/EventResults-1581"
"3.","Morgan Bourc'His","https://athletes.aidainternational.org/Profile-bb558964-d4cf-4c92-8335-ad6437eb3d9f","(France)","91 m","91 m","91","0","2019-09-09","AIDA Depth World Championship 2019","https://events.aidainternational.org/EventResults-2272"
"4.","William Winram","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000048e","(Canada)","86 m","86 m","86","0","2009-12-03","5th AIDA Individual World Championship 2009","https://events.aidainternational.org/EventResults-1554"
"5.","Michal Risian","https://athletes.aidainternational.org/Profile-b10fa63f-e8c6-48f7-81d7-500146ec051b","(Czech Republic)","84 m","84 m","84","0","2011-09-15","AIDA Individual Depth World Championship 2011","https://events.aidainternational.org/EventResults-917"
"6.","Herbert Nitsch","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006","(Austria)","83 m","83 m","83","0","2007-10-21","Triple Depth","https://events.aidainternational.org/EventResults-954"
"7.","Miguel Lozano","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000ab3","(Spain)","83 m","83 m","83","0","2017-05-08","Vertical Blue 2017","https://events.aidainternational.org/EventResults-1884"
"8.","Abdelatif Alouach","https://athletes.aidainternational.org/Profile-bda58ffc-2e59-4231-aa1b-fcf7f81cef86","(France)","83 m","83 m","83","0","2019-09-09","AIDA Depth World Championship 2019","https://events.aidainternational.org/EventResults-2272"
"9.","Dean Chaouche","https://athletes.aidainternational.org/Profile-f35643b7-98b0-409b-8f97-59cf381f9095","(United Kingdom)","82 m","82 m","82","0","2018-07-18","Vertical Blue","https://events.aidainternational.org/EventResults-2117"
"10.","Martin Stepanek","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000092","(Czech Republic)","80 m","80 m","80","0","2005-04-08","WR Attempt - STEPANEK Martin (CWT, CNF, FIM)","https://events.aidainternational.org/EventResults-1594"
"11.","Mateusz Malina","https://athletes.aidainternational.org/Profile-f8c634fd-af19-4b82-88a6-dfb068e92f8c","(Poland)","80 m","80 m","80","0","2019-09-09","AIDA Depth World Championship 2019","https://events.aidainternational.org/EventResults-2272"
"12.","Guillaume Néry","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000001dd","(France)","78 m","78 m","78","0","2009-12-03","5th AIDA Individual World Championship 2009","https://events.aidainternational.org/EventResults-1554"
"13.","Walid Boudhiaf","https://athletes.aidainternational.org/Profile-a4fceb1b-f8f4-4af6-9103-a7e6935a73df","(France)","78 m","78 m","78","0","2018-05-09","NIRVANA OCEANQUEST DEPTH CONTEST 2018","https://events.aidainternational.org/EventResults-2045"
"14.","Samo Jeranko","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000972","(Slovenia)","77 m","77 m","77","0","2016-11-03","Red C cup (6th edition)","https://events.aidainternational.org/EventResults-114"
"15.","Remy Dubern","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000d7c","(France)","77 m","77 m","77","0","2017-08-29","AIDA World Depth Championship 2017","https://events.aidainternational.org/EventResults-1955"
"16.","Homar Leuci","https://athletes.aidainternational.org/Profile-ec899fbd-bfa4-42b5-b2a0-a0c5dce3e5b6","(Italy)","77 m","77 m","77","0","2018-07-20","Vertical Blue","https://events.aidainternational.org/EventResults-2117"
"17.","Alex Davis","https://athletes.aidainternational.org/Profile-3dc7aa50-79b5-4c31-a64b-fa23a56b1231","(Barbados)","76 m","76 m","76","0","2017-04-30","Vertical Blue 2017","https://events.aidainternational.org/EventResults-1884"
"18.","Thomas Bouchard","https://athletes.aidainternational.org/Profile-f2c8b544-c60d-4843-9d3b-307804261630","(France)","76 m","76 m","76","0","2019-09-09","AIDA Depth World Championship 2019","https://events.aidainternational.org/EventResults-2272"
"19.","Christian Maldamé","https://athletes.aidainternational.org/Profile-5a929cbc-9b7c-40f1-8f10-d64e44243711","(France)","75 m","75 m","75","0","2009-12-03","5th AIDA Individual World Championship 2009","https://events.aidainternational.org/EventResults-1554"
"20.","Stig Pryds","https://athletes.aidainternational.org/Profile-632ec69f-b487-48d8-a820-10376e5e21ce","(Denmark)","75 m","75 m","75","0","2015-09-11","2015 AIDA Depth World Championships","https://events.aidainternational.org/EventResults-1199"
"21.","Davide Carrera","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000003e","(Italy)","75 m","75 m","75","0","2017-05-08","Vertical Blue 2017","https://events.aidainternational.org/EventResults-1884"
"22.","Walter Steyn","https://athletes.aidainternational.org/Profile-9f48c69f-827c-414c-ac3f-50b27d07d219","(Australia)","74 m","74 m","74","0","2011-04-17","Vertical Blue 2011","https://events.aidainternational.org/EventResults-1558"
"23.","Antonijo Koderman","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000097a","(Slovenia)","74 m","74 m","74","0","2011-09-15","AIDA Individual Depth World Championship 2011","https://events.aidainternational.org/EventResults-917"
"24.","Jens Stoetzner","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000001072","(Germany)","74 m","74 m","74","0","2018-08-27","Red C cup (11th Edition)","https://events.aidainternational.org/EventResults-2153"
"25.","Antero Joki","https://athletes.aidainternational.org/Profile-30a060c0-03ca-4b06-8b8f-383ea55369b4","(Finland)","73 m","73 m","73","0","2012-11-20","Suunto Vertical Blue 2012","https://events.aidainternational.org/EventResults-715"
"26.","Stefan Randig","https://athletes.aidainternational.org/Profile-e05446cc-3761-4006-a58c-acec4046ec63","(Germany)","73 m","73 m","73","0","2018-05-25","Freedive Panglao Staff Competition","https://events.aidainternational.org/EventResults-2014"
"27.","Alessia Zecchini","https://athletes.aidainternational.org/Profile-27ee09ed-33d6-45d6-8c45-5f125f0bee55","(Italy)","73 m","73 m","73","0","2018-07-22","Vertical Blue","https://events.aidainternational.org/EventResults-2117"
"28.","Kerian Hibbs","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000005c9","(New Zealand)","72 m","72 m","72","0","2009-12-02","Deans Blue Hole Crew","https://events.aidainternational.org/EventResults-1555"
"29.","Sayuri Kinoshita","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000001186","(Japan)","72 m","72 m","72","0","2016-04-26","Vertical Blue 2016","https://events.aidainternational.org/EventResults-82"
"30.","Piero Giobbi","https://athletes.aidainternational.org/Profile-8f1ccbc7-afad-4f4f-86a7-9c53d41af96b","(Sweden)","72 m","72 m","72","0","2017-08-29","AIDA World Depth Championship 2017","https://events.aidainternational.org/EventResults-1955"
"31.","Grant Hogan","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000f59","(United States)","71 m","71 m","71","0","2012-05-04","Deja Blue 3","https://events.aidainternational.org/EventResults-1515"
"32.","Michele Tomasi","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000953","(Italy)","71 m","71 m","71","0","2013-11-09","Vertical Blue 2013","https://events.aidainternational.org/EventResults-1562"
"33.","Jesper Stechmann","https://athletes.aidainternational.org/Profile-012046a0-9731-45a9-85d8-6983fd666c3d","(Denmark)","71 m","71 m","71","0","2014-08-27","2014 Danish hampionships","https://events.aidainternational.org/EventResults-937"
"34.","David Kent","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000adb","(United Kingdom)","71 m","71 m","71","0","2014-09-28","little blue hole competition","https://events.aidainternational.org/EventResults-1043"
"35.","Natalia Molchanova","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2","(Russian Federation)","71 m","71 m","71","0","2015-05-13","Russian National Open","https://events.aidainternational.org/EventResults-1045"
"36.","Johan Hägg","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000c77","(Sweden)","71 m","71 m","71","0","2015-09-11","2015 AIDA Depth World Championships","https://events.aidainternational.org/EventResults-1199"
"37.","Goran Colak","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000062d","(Croatia)","71 m","71 m","71","0","2015-09-11","2015 AIDA Depth World Championships","https://events.aidainternational.org/EventResults-1199"
"38.","Andriy Khvetkevych","https://athletes.aidainternational.org/Profile-e92f7ecd-5e78-4a13-9813-640424d347ea","(Ukraine)","71 m","71 m","71","0","2018-07-26","Vertical Blue","https://events.aidainternational.org/EventResults-2117"
"39.","Michele Giurgola","https://athletes.aidainternational.org/Profile-0b47bc5e-f803-4b7a-813b-33ec8acad0f0","(Italy)","71 m","71 m","71","0","2019-05-20","Russian Open depth Championship 2019","https://events.aidainternational.org/EventResults-2353"
"40.","Roberto Guzman","https://athletes.aidainternational.org/Profile-5148dc7e-4aa9-43e3-a8b0-53544f622078","(Mexico)","71 m","71 m","71","0","2019-08-05","AIDA Caribbean Cup 2019","https://events.aidainternational.org/EventResults-2539"
"41.","Oleksandr Bubenchykov","https://athletes.aidainternational.org/Profile-a763cace-5c89-4a2a-84ef-4441d117571a","(Ukraine)","71 m","71 m","71","0","2019-09-09","AIDA Depth World Championship 2019","https://events.aidainternational.org/EventResults-2272"
"42.","Robert King","https://athletes.aidainternational.org/Profile-d9a38403-3dbf-4b08-ab89-6cb7ce61b379","(United States)","70 m","70 m","70","0","2011-09-15","AIDA Individual Depth World Championship 2011","https://events.aidainternational.org/EventResults-917"
"43.","Andrey Matveenko","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000be1","(Russian Federation)","70 m","70 m","70","0","2018-09-21","Molchanova Grand Prix","https://events.aidainternational.org/EventResults-2213"
"44.","Jin (Sendoh) Wang","https://athletes.aidainternational.org/Profile-a51ea24f-b749-4337-ade8-23a9f78bec97","(China)","70 m","70 m","70","0","2018-11-07","Sabang International Freediving Competition 2018","https://events.aidainternational.org/EventResults-2202"
"45.","Petar Klovar","https://athletes.aidainternational.org/Profile-ef89ac03-a2b3-4b66-91c2-39b912b67a34","(Croatia)","70 m","70 m","70","0","2019-09-09","AIDA Depth World Championship 2019","https://events.aidainternational.org/EventResults-2272"
"46.","Francisco Quesada","https://athletes.aidainternational.org/Profile-24e7eaec-e57d-4bd8-a23a-5f6556f3d526","(Spain)","70 m","70 m","70","0","2019-12-05","AIDA DahabApnea   December Mini comp","https://events.aidainternational.org/EventResults-2634"
"47.","Carlos Coste","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000070","(Venezuela)","69 m","69 m","69","0","2016-09-05","BONAIRE DEEPSEA CHALLENGE","https://events.aidainternational.org/EventResults-65"
"48.","Johan Thelaus","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000248","(Sweden)","68 m","68 m","68","0","2010-06-14","3rd Mediterranean Freediving Meeting","https://events.aidainternational.org/EventResults-1478"
"49.","Rune Hallum","https://athletes.aidainternational.org/Profile-1dba4d95-cbe9-43c1-aa7f-4e5b51700865","(Denmark)","68 m","68 m","68","0","2011-09-15","AIDA Individual Depth World Championship 2011","https://events.aidainternational.org/EventResults-917"
"50.","Chris Crawshaw","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000d21","(United Kingdom)","68 m","68 m","68","0","2014-11-27","Suunto Vertical Blue","https://events.aidainternational.org/EventResults-1563"
"51.","Amber Bourke","https://athletes.aidainternational.org/Profile-9545dbaa-46ea-4ff6-8d70-23dd0b3b42b7","(Australia)","68 m","68 m","68","0","2017-08-19","Caribbean Cup 2017","https://events.aidainternational.org/EventResults-1954"
"52.","Giannis Kothonidis","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000013f8","(Greece)","68 m","68 m","68","0","2018-09-02","AIDA Hellas, Summer Apnea Games 2018","https://events.aidainternational.org/EventResults-2181"
"53.","Natalia Zharkova","https://athletes.aidainternational.org/Profile-aafce31a-387b-435f-8c0f-8f7f2112c3a8","(Ukraine)","68 m","68 m","68","0","2018-09-17","Authentic Big Blue 2018","https://events.aidainternational.org/EventResults-2042"
"54.","Pablo Marti","https://athletes.aidainternational.org/Profile-60b4839c-e4a9-4305-b88d-5604d74aafb4","(Mexico)","68 m","68 m","68","0","2019-11-26","AIDA Blue Element 2019","https://events.aidainternational.org/EventResults-2566"
"55.","Jure Daic","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000049a","(Slovenia)","67 m","67 m","67","0","2009-12-03","5th AIDA Individual World Championship 2009","https://events.aidainternational.org/EventResults-1554"
"56.","Christian Ernest","https://athletes.aidainternational.org/Profile-86d56f01-913e-4312-be9e-119ff82f7738","(Sweden)","67 m","67 m","67","0","2010-04-29","Bizzy Blue Hole 2010","https://events.aidainternational.org/EventResults-971"
"57.","Ashley Chapman","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000c56","(United States)","67 m","67 m","67","0","2012-11-20","Suunto Vertical Blue 2012","https://events.aidainternational.org/EventResults-715"
"58.","Berger Pascal","https://athletes.aidainternational.org/Profile-16763b2f-19a7-4388-8999-3c4409db3ee5","(Switzerland)","67 m","67 m","67","0","2014-11-27","Suunto Vertical Blue","https://events.aidainternational.org/EventResults-1563"
"59.","Timothy Oehmigen","https://athletes.aidainternational.org/Profile-7dc39323-95c0-4054-9e3c-2da35148d878","(Germany)","67 m","67 m","67","0","2017-06-24","Freedive Panglao June Minicomp","https://events.aidainternational.org/EventResults-1906"
"60.","Ken Kiriyama","https://athletes.aidainternational.org/Profile-e631aada-c382-4bfa-bf3e-d4f869d27578","(Japan)","67 m","67 m","67","0","2019-06-11","Asian Freediving Cup 2019","https://events.aidainternational.org/EventResults-2297"
"61.","Ryuzo Shinomiya","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000ae","(Japan)","66 m","66 m","66","0","2014-11-27","Suunto Vertical Blue","https://events.aidainternational.org/EventResults-1563"
"62.","Kurt Randolph","https://athletes.aidainternational.org/Profile-a27429d3-8649-42fc-9add-31ea07933e6a","(United States)","66 m","66 m","66","0","2016-05-09","Deja Blue 7","https://events.aidainternational.org/EventResults-181"
"63.","Alejandro Lemus","https://athletes.aidainternational.org/Profile-7c963adc-96e3-4d8e-a2d0-6181af50ae28","(Mexico)","66 m","66 m","66","0","2017-05-01","Vertical Blue 2017","https://events.aidainternational.org/EventResults-1884"
"64.","Javier Nacif Hartley","https://athletes.aidainternational.org/Profile-0ba21aae-e876-4765-a76c-2262a95694e1","(Chile)","66 m","66 m","66","0","2018-08-02","Dahab Apnea","https://events.aidainternational.org/EventResults-2168"
"65.","Eddy Laffin","https://athletes.aidainternational.org/Profile-04b47bd9-61d3-43a5-b0c5-adc1c05a9902","(France)","66 m","66 m","66","0","2019-06-23","NICE ABYSS CONTEST 2019","https://events.aidainternational.org/EventResults-2426"
"66.","Nataliia Zharkova","https://athletes.aidainternational.org/Profile-81e38ff9-754b-47b0-a167-4d5eb34fc1eb","(Ukraine)","66 m","66 m","66","0","2019-09-14","AIDA Depth World Championship 2019","https://events.aidainternational.org/EventResults-2272"
"67.","Sebastian Näslund","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000022d","(Sweden)","65 m","65 m","65","0","2009-12-03","5th AIDA Individual World Championship 2009","https://events.aidainternational.org/EventResults-1554"
"68.","Antony Judge","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000000d5","(Australia)","65 m","65 m","65","0","2012-06-01","Freedive Paradise","https://events.aidainternational.org/EventResults-443"
"69.","Alena Zabloudilová","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002ef","(Czech Republic)","65 m","65 m","65","0","2012-11-20","Suunto Vertical Blue 2012","https://events.aidainternational.org/EventResults-715"
"70.","Nick Mevoli","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000f5d","(United States)","65 m","65 m","65","0","2013-09-15","AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","https://events.aidainternational.org/EventResults-928"
"71.","","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000fb8","","65 m","65 m","65","0","2013-09-15","AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","https://events.aidainternational.org/EventResults-928"
"72.","Jonathan Sunnex","https://athletes.aidainternational.org/Profile-441d61d8-1d9d-4cbe-af58-87821cb2c94f","(New Zealand)","65 m","65 m","65","0","2013-11-09","Vertical Blue 2013","https://events.aidainternational.org/EventResults-1562"
"73.","Sebastian Lira","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000001917","(Chile)","65 m","65 m","65","0","2016-06-01","Caribbean Cup 2016","https://events.aidainternational.org/EventResults-95"
"74.","Stephane Tourreau","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000dd1","(France)","65 m","65 m","65","0","2019-11-27","AIDA Blue Element 2019","https://events.aidainternational.org/EventResults-2566"
"75.","Leo Yasumasa Muraoka","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000005b7","(United States)","65 m","0 m","65","0","2006-11-11","Kona Regional Event 2006","https://events.aidainternational.org/EventResults-428"
"76.","Steinar Schjager","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000007bb","(Norway)","64 m","64 m","64","0","2013-09-15","AIDA INDIVIDUAL DEPHT WORLD CHAMPIONSHIP 2013","https://events.aidainternational.org/EventResults-928"
