"AIDA Hydro Dynamic 2020","https://events.aidainternational.org/EventDetails-2720","Pool Competition","Bsfz Südstadt","Maria Enzersdorf / Vienna, Austria","2020-10-24","2020-10-25","Register Now","EventRegistration-358"
"AIDA Tribute to Carla","https://events.aidainternational.org/EventDetails-2734","Depth Competition","Odysseia Hotel","Limassol, Cyprus","2020-09-19","2020-09-27","Register Now","EventRegistration-376"
"AIDA 14th Serbian Open Freediving Championships Belgrade 2020","https://events.aidainternational.org/EventDetails-2652","Pool Competition","Srpc Milan Gale Muškatirović","Belgrade, Serbia","2020-03-07","2020-03-07","Registration Closed","EventRegistration-301"
"AIDA 8th Tyrolean Apnea Cup","https://events.aidainternational.org/EventDetails-2514","Pool Competition","Universitäts Sport Institut Innsbruck / Austria","Innsbruck, Austria","2020-02-23","2020-02-23","Registration Closed","EventRegistration-179"
"AIDA Riga Freediving Cup 2020","https://events.aidainternational.org/EventDetails-2660","Pool Competition","Keizarmezs Sport Center, Rtu Kipsalas Swimming Pool","Riga, Latvia","2020-02-07","2020-02-09","Registration Closed","EventRegistration-309"
"AIDA Xth Silesia Freediving Pool Competition","https://events.aidainternational.org/EventDetails-2617","Pool Competition","Kryta Pływalnia Mosir","Rybnik, Poland","2019-12-06","2019-12-07","Registration Closed","EventRegistration-283"
"AIDA Höstapneiaden 2019","https://events.aidainternational.org/EventDetails-2574","Pool Competition","Valhallabadet","Göteborg, Sweden","2019-11-29","2019-12-01","Registration Closed","EventRegistration-245"
"AIDA BELARUS FREEDIVING CUP 2019","https://events.aidainternational.org/EventDetails-2545","Pool Competition","The Pool Of Physical Education University","Minsk, Belarus","2019-11-23","2019-11-24","Registration Closed","EventRegistration-215"
"AIDA Blue Element 2019","https://events.aidainternational.org/EventDetails-2566","Depth Competition","Soufriere Bay","Soufriere, United Kingdom","2019-11-20","2019-11-28","Registration Closed","EventRegistration-265"
"AIDA OceanQuest Curaçao","https://events.aidainternational.org/EventDetails-2578","Depth Competition","Oceanquest Curaçao","Curacao, Netherlands","2019-10-14","2019-10-20","Registration Closed","EventRegistration-255"
"Hydro Dynamic 2019","https://events.aidainternational.org/EventDetails-2397","Pool Competition","Bsfz Südstadt","Maria Enzersdorf / Vienna, Austria","2019-10-13","2019-10-14","Registration Closed","EventRegistration-114"
"Infinity Depth Games 5","https://events.aidainternational.org/EventDetails-2274","Depth Competition","Psarolimano Marina","Larnaca, Cyprus","2019-10-11","2019-10-20","Registration Closed","EventRegistration-63"
"AIDA AIDA Cyprus Depth Games 2019.","https://events.aidainternational.org/EventDetails-2533","Depth Competition","Limassol Bay","Limassol, Cyprus","2019-10-06","2019-10-06","Registration Closed","EventRegistration-224"
"Authentic Big Blue 2019","https://events.aidainternational.org/EventDetails-2390","Depth Competition","Amorgos","Amorgos, Greece","2019-09-23","2019-09-28","Registration Closed","EventRegistration-247"
"AIDA Apnea Association of Singapore  Depth Competition Bali 2019","https://events.aidainternational.org/EventDetails-2492","Depth Competition","Apnea Bali","Tulamben, Indonesia","2019-09-16","2019-09-19","Registration Closed","EventRegistration-181"
"AIDA Depth World Championship 2019","https://events.aidainternational.org/EventDetails-2272","World Championship","Villefranche Sur Mer","Villefranche Sur Mer, France","2019-09-07","2019-09-15","Registration Closed","EventRegistration-52"
"AIDA Caribbean Cup 2019","https://events.aidainternational.org/EventDetails-2539","Depth Competition","-","Roatan, Honduras","2019-08-02","2019-08-05","Registration Closed","EventRegistration-205"
"Cyprus Depth Games 2019.","https://events.aidainternational.org/EventDetails-2369","Depth Competition","Limassol Bay","Limassol, Cyprus","2019-07-25","2019-07-28","Registration Closed","EventRegistration-88"
"AIDA Swiss Indoors Montreux 19.5.2019","https://events.aidainternational.org/EventDetails-2508","Pool Competition","Check Event 18.5.2019","Montreux, Switzerland","2019-07-17","2019-07-17","Registration Closed","EventRegistration-176"
"AIDA Calm Zone Classic 2019","https://events.aidainternational.org/EventDetails-2465","Depth Competition","Freediving Club Greece","Kalamata, Greece","2019-07-14","2019-07-20","Registration Closed","EventRegistration-140"
"AIDA CWT World record attempt","https://events.aidainternational.org/EventDetails-2439","Worldrecord attempt","Freedivingworld","Sharm El Sheick, Egypt","2019-06-22","2019-06-30","Registration Closed","EventRegistration-389"
"NICE ABYSS CONTEST 2019","https://events.aidainternational.org/EventDetails-2426","Depth Competition","Cipa","Nice, France","2019-06-22","2019-06-23","Registration Closed","EventRegistration-92"
"XVI Polish Freediving Pool Championships","https://events.aidainternational.org/EventDetails-2414","Pool Competition","Floating Arena","Szczecin, Poland","2019-06-21","2019-06-23","Registration Closed","EventRegistration-129"
"Asian Freediving Cup 2019","https://events.aidainternational.org/EventDetails-2297","Depth Competition","Freedive Panglao","Panglao, Philippines","2019-06-09","2019-06-11","",""
"Ukrainian Freediving Championship 2019","https://events.aidainternational.org/EventDetails-2307","Pool Competition","Pool","Odessa, Ukraine","2019-05-25","2019-05-26","Registration Closed","EventRegistration-39"
"AIDA Czech National Championship 2019","https://events.aidainternational.org/EventDetails-2415","Pool Competition","Swimming Pool Ceske Budejovice","Ceske Budejovice, Czech Republic","2019-05-25","2019-05-25","Registration Closed","EventRegistration-98"
"Russian Open depth Championship 2019","https://events.aidainternational.org/EventDetails-2353","Depth Competition","Sharm El Sheikh","Sharm El Sheikh, Egypt","2019-05-20","2019-05-23","Registration Closed","EventRegistration-53"
"Swiss Indoors Montreux 18-19.05.2019","https://events.aidainternational.org/EventDetails-2303","Pool Competition","Piscine De La Maladaire","1815 Clarens, Switzerland","2019-05-18","2019-05-19","",""
