"1.","Mateusz Malina","https://athletes.aidainternational.org/Profile-f8c634fd-af19-4b82-88a6-dfb068e92f8c","(Poland)","806","115","150","125","122","101","-","80","113"
"2.","Alexey Molchanov","https://athletes.aidainternational.org/Profile-2e49e1ad-580c-4b06-a13e-0e36682f2a1f","(Russian Federation)","790.1","102.6","129","-","97.5","130","110","96","125"
"3.","Oleksandr Bubenchykov","https://athletes.aidainternational.org/Profile-a763cace-5c89-4a2a-84ef-4441d117571a","(Ukraine)","725.6","108.6","144.5","100","108.5","98","-","71","95"
"4.","Alejandro Lemus","https://athletes.aidainternational.org/Profile-7c963adc-96e3-4d8e-a2d0-6181af50ae28","(Mexico)","721.9","85.4","110.5","91.5","76.5","103","91","66","98"
"5.","Vitomir Maričić","https://athletes.aidainternational.org/Profile-900feea2-6eff-40b5-ae30-a72f710137fe","(Croatia)","705.2","106.2","130","117","120","85","70","-","77"
"6.","Goran Colak","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000062d","(Croatia)","654","117","140.5","-","112.5","115","-","71","98"
"7.","Jens Stoetzner","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000001072","(Germany)","651","85","93.5","83","80.5","90","64","74","81"
"8.","William Trubridge","https://athletes.aidainternational.org/Profile-749ff4c9-7676-43bc-b668-de6d5d66e550","(New Zealand)","649.8","89.8","118.5","-","93.5","122","-","102","124"
"9.","Petar Klovar","https://athletes.aidainternational.org/Profile-ef89ac03-a2b3-4b66-91c2-39b912b67a34","(Croatia)","639.3","97.8","120","116.5","109","68","-","70","58"
"10.","William Winram","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-00000000048e","(Canada)","632.2","85.2","102.5","80","87.5","94","-","86","97"
"11.","Stefan Randig","https://athletes.aidainternational.org/Profile-e05446cc-3761-4006-a58c-acec4046ec63","(Germany)","630","97","100","-","75","100","90","73","95"
"12.","Aliaksandr Zaikin","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000001690","(Belarus)","626.6","67.6","115","100","91","70","60","53","70"
"13.","Martin Zajac","https://athletes.aidainternational.org/Profile-951fa98f-7e76-44e7-b295-e91d4a13f484","(Slovakia)","618","78","106","-","75","106","93","60","100"
"14.","David Mullins","https://athletes.aidainternational.org/Profile-e6642a1a-d9a0-430f-a401-d052c3783dcf","(New Zealand)","606.7","98.2","132.5","-","116","126","-","50","84"
"15.","Kurt Chambers","https://athletes.aidainternational.org/Profile-e2285ca9-8e8a-4b76-b8d6-50230b25520d","(United States)","606.4","84.4","96","-","66","101","98","61","100"
"16.","Giannis Giagkinis","https://athletes.aidainternational.org/Profile-b9ad3193-e0e3-4493-b5b8-d48f5d2688c7","(Greece)","602.6","72.6","125","92","88","87","-","58","80"
"17.","Aris Ioannidis","https://athletes.aidainternational.org/Profile-32b07500-d9ed-48f8-9ac7-be9aeadbf6ea","(Greece)","596.4","85.4","111","77","94","62","45","57","65"
"18.","Herbert Nitsch","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000006","(Austria)","596.3","108.8","91.5","-","69","124","-","83","120"
"19.","Samo Jeranko","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000972","(Slovenia)","595.1","97.6","114.5","-","90","110","-","77","106"
"20.","Roberto Guzman","https://athletes.aidainternational.org/Profile-5148dc7e-4aa9-43e3-a8b0-53544f622078","(Mexico)","592.7","62.2","87.5","75","72","76","73","71","76"
"1.","Morgan Bourc'His","https://athletes.aidainternational.org/Profile-bb558964-d4cf-4c92-8335-ad6437eb3d9f","(France)","590.7","81.2","113.5","-","94","106","-","91","105"
"2.","Jessea Wenjie Lu","https://athletes.aidainternational.org/Profile-60d5ef69-a645-4d18-bc97-284d2ab1a2d9","(China)","590.2","96.2","100","-","75","88","83","62","86"
"3.","Nicole Edensbo","https://athletes.aidainternational.org/Profile-9b9a9ab7-9ce6-484f-be7a-c05cb553fdd7","(Sweden)","588.9","77.4","105","83","67.5","75","52","52","77"
"4.","Jung A Kim","https://athletes.aidainternational.org/Profile-f4d7a811-dbcc-428b-98ba-d6940b594701","(Republic of Korea)","584.2","79.2","72","79","65","85","76","47","81"
"5.","Evgeny Sychev","https://athletes.aidainternational.org/Profile-4fafae3d-e113-460a-9e9c-906c3286434a","(Russian Federation)","582.2","61.2","94","69","58","99","75","53","73"
"6.","Natalia Molchanova","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-0000000002e2","(Russian Federation)","580.9","108.4","118.5","-","91","101","-","71","91"
"7.","Kristian Mäki-Jussila","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000001336","(Finland)","577.2","73.2","112.5","90.5","92","54","60","45","50"
"8.","Sayuri Kinoshita","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000001186","(Japan)","575.6","77.6","84.5","-","62.5","100","82","72","97"
"9.","Marianna Gillespie","https://athletes.aidainternational.org/Profile-cabfbb72-5ce5-411c-977a-8efec283e349","(France)","574.1","73.6","102","-","77.5","93","85","62","81"
"10.","Jesper Stechmann","https://athletes.aidainternational.org/Profile-012046a0-9731-45a9-85d8-6983fd666c3d","(Denmark)","569.1","94.6","114.5","-","90","102","-","71","97"
"11.","Michal Risian","https://athletes.aidainternational.org/Profile-b10fa63f-e8c6-48f7-81d7-500146ec051b","(Czech Republic)","568.5","86","119","-","101.5","102","-","84","76"
"12.","Andrey Matveenko","https://athletes.aidainternational.org/Profile-00000000-0000-0000-0000-000000000be1","(Russian Federation)","567.7","86.2","113.5","-","74","119","-","70","105"
"13.","Olga Davydova","https://athletes.aidainternational.org/Profile-8a749658-722e-479b-a9f1-dfa41c7b245f","(Russian Federation)","557.1","66.6","80","75","49.5","81","70","60","75"
"14.","Stig Pryds","https://athletes.aidainternational.org/Profile-632ec69f-b487-48d8-a820-10376e5e21ce","(Denmark)","550.9","81.4","100","-","87.5","105","-","75","102"
"15.","Phil Clayton","https://athletes.aidainternational.org/Profile-ab893720-727a-4e18-98c1-14dce58ff4bd","(New Zealand)","549.5","72","100","76.5","75","60","55","51","60"
"16.","Alena Konecna","https://athletes.aidainternational.org/Profile-c1e4ecb9-26c7-43ba-bf02-4846e5bdf20a","(Czech Republic)","549.4","76.4","83","-","73","97","85","54","81"
"17.","Rune Hallum","https://athletes.aidainternational.org/Profile-1dba4d95-cbe9-43c1-aa7f-4e5b51700865","(Denmark)","548","95","118","-","100","86","-","68","81"
